Métrica,Valor,Período
KPI.mrr,15000,30d
KPI.activeSubscriptions,150,30d
KPI.churnRate,2.5,30d
KPI.arpu,100,30d
KPI.ltv,4000,30d
KPI.totalUsers,1000,30d
KPI.completionRate,75,30d
KPI.avgReportScore,8.5,30d
FUNNEL.homepageViews,1000,30d
FUNNEL.triageStarts,300,30d
FUNNEL.triageCompletions,225,30d
FUNNEL.reportViews,200,30d
FUNNEL.pricingViews,50,30d
FUNNEL.checkoutStarts,30,30d
FUNNEL.subscriptions,25,30d
FUNNEL.homepageToTriage,30,30d
FUNNEL.triageToCompletion,75,30d
FUNNEL.completionToReport,89,30d
FUNNEL.reportToPricing,25,30d
FUNNEL.pricingToCheckout,60,30d
FUNNEL.checkoutToSubscription,83,30d
REVENUE.revenueToday,500,30d
REVENUE.revenueThisWeek,3500,30d
REVENUE.revenueThisMonth,15000,30d
REVENUE.revenueThisYear,180000,30d
REVENUE.basicMonthly,8000,30d
REVENUE.plusMonthly,7000,30d
REVENUE.basicYearly,2000,30d
REVENUE.plusYearly,1000,30d
REVENUE.projectedMonthlyRevenue,16000,30d
REVENUE.projectedYearlyRevenue,192000,30d
PRODUCT.completionRate,75,30d
PRODUCT.avgTriageTime,12,30d
PRODUCT.reportsPerDay,25,30d
PRODUCT.cohorts,"{""d7"":150,""d30"":400}",30d
TECH.apiUptime,99.9,30d
TECH.avgResponseTime,250,30d
TECH.errorRate,0.1,30d
TECH.dbConnections,5,30d
TECH.dbResponseTime,50,30d
TECH.dbSize,104857600,30d
TECH.lighthouseScore,92,30d
