slot_id,route,section,master_asset,crop,copy_side,cta,compliance_note,replaces_current_asset
MJY-EMO-001,/,home_hero_row_emagrecimento,/mejoyimagens/mejoy1.jpg,4:3|4:5|1:1,right,Comecar minha avaliacao,Sem prometer resultado; foco em entrada qualificada.,n/a
MJY-EMO-002,/,home_hero_row_sono,/mejoyimagens/mejoy4.jpg,4:3|4:5|1:1,right,Explorar cuidados,Nao sexualizar nem usar look fitness agressivo.,n/a
MJY-EMO-003,/,home_hero_row_articulacoes,/imagensmedvimejoyhome/mejoy1-22.avif,4:3|4:5|1:1,right,Ver jornada,"Contexto de mobilidade e rotina, nao promessa de cura.",n/a
MJY-EMO-004,/,home_hero_row_cabelo,/imagensmedvimejoyhome/mejoy1-25.avif,4:3|4:5|1:1,right,Conhecer fluxo,"Imagem deve sustentar cuidado continuo, nao vaidade vazia.",n/a
MJY-EMO-005,/,home_weight_loss_feature_main,/mejoyimagens/mejoy5.jpg,1:1|4:5|16:9,left,Entender o programa,"Autoridade silenciosa; rosto real, luz suave.",n/a
MJY-EMO-006,/,home_weight_loss_feature_thumb_a,/mejoyimagens/mejoy14.jpg,1:1|4:5,left,Ver detalhes,Nao usar como promessa de produto especifico.,n/a
MJY-EMO-007,/,home_weight_loss_feature_thumb_b,/imagensmedvimejoyhome/mejoy1-8.avif,1:1|9:16,left,Ver como funciona,"Apoiar ideia de app, painel e continuidade.",n/a
MJY-EMO-008,/,home_how_step_1,/imagensmedvimejoyhome/mejoy1-7.avif,4:5|16:9|1:1,left,Comecar triagem,Transmitir rotina real e entrada organizada.,n/a
MJY-EMO-009,/,home_how_step_2,/mejoyimagens/mejoy15.jpg,4:5|16:9|1:1,left,Ver proximo passo,"Expressao de alivio e clareza, sem exagero.",n/a
MJY-EMO-010,/,home_how_step_3,/imagensmedvimejoyhome/mejoy1-8.avif,4:5|16:9|1:1,left,Continuar jornada,Suporte e habitos sem parecer comida perfeita de publicidade.,n/a
MJY-EMO-011,/,home_testimonial_avatar_a,/imagensmedvimejoyhome/mejoy1-1.avif,1:1|4:5,center,Ler experiencia,Depoimento anonimo; sem dados auditivos ou nomes completos.,n/a
MJY-EMO-012,/,home_testimonial_avatar_b,/mejoyimagens/mejoy12.jpg,1:1|4:5,center,Ler experiencia,Evitar cara de stock estrangeiro.,n/a
MJY-EMO-013,/emagrecimento,lp_hero_portrait_1,/mejoyimagens/mejoy4.jpg,3:4|4:5|9:16,below,Ver se sou elegivel,"Primeiro frame congelado: so trocar criativo, nao container.",/images/emagrecimento/lp-pdf/hero-1.jpg
MJY-EMO-014,/emagrecimento,lp_hero_portrait_2,/mejoyimagens/mejoy11.jpg,3:4|4:5|9:16,below,Ver se sou elegivel,"Manter proporcao, gap e raio atuais.",/images/emagrecimento/lp-pdf/hero-2.jpg
MJY-EMO-015,/emagrecimento,lp_hero_portrait_3,/mejoyimagens/mejoy12.jpg,3:4|4:5|9:16,below,Ver se sou elegivel,"Retrato editorial brasileiro, tom premium clinico.",/images/emagrecimento/lp-pdf/hero-3.jpg
MJY-EMO-016,/emagrecimento,lp_how_triagem,/mejoyimagens/mejoy14.jpg,4:3|4:5|1:1,left,Comecar avaliacao,Explicar triagem e clareza; nao parecer captura generica.,/images/emagrecimento/lp-pdf/how-triagem.jpg
MJY-EMO-017,/emagrecimento,lp_how_consulta,/mejoyimagens/mejoy15.jpg,4:3|16:9|1:1,left,Entender avaliacao,Sem promessa de consulta milagrosa; medico como criterio.,/images/emagrecimento/lp-pdf/how-consulta.jpg
MJY-EMO-018,/emagrecimento,lp_how_acompanhamento,/imagensmedvimejoyhome/mejoy1-13.avif,4:3|4:5|1:1,left,Ver continuidade,"Acompanhamento de rotina, nao so transformacao corporal.",/images/emagrecimento/lp-pdf/how-acompanhamento.jpg
