sku,name,objective_primary,category_nav,form_display,form_key,pack_size_display,requires_rx,requires_validation,can_subscribe,subscription_plan_default,subscription_discount_pct,price_pix_brl,price_card_brl,compare_at_brl,cogs_estimate_brl,margin_target_pct,lead_time_days,shipping_class,seo_slug,seo_title,tags,short_benefit,active_ingredients,whatsapp_flow,upsell_parametrizado,builder_template_id,status,priority_rank
MJOY-0001,5-HTP 50 mg,Sono,Sono,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,5-htp-50-mg,5-HTP 50 mg | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,5-HTP 50 mg,none,True,5-htp,draft,1
MJOY-0002,Cúrcuma 450 mg,Saúde,Saúde,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,curcuma-450-mg-mjoy-0002,Cúrcuma 450 mg | MeJoy,saúde;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Cúrcuma 450 mg,none,True,curcuma,draft,2
MJOY-0003,Minoxidil Turbinado 100 mL,Cabelo,Cabelo,Solução Tópica,topical,100 mL,True,False,True,MENSAL,10,,,,,65,2,PADRAO,minoxidil-turbinado-100-ml,Minoxidil Turbinado 100 mL | MeJoy,cabelo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Minoxidil Turbinado 100 mL,rx_upload,True,minoxidil,draft,3
MJOY-0004,Morosil 500 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,morosil-500-mg,Morosil 500 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Morosil 500 mg,none,True,morosil,draft,4
MJOY-0005,Citrato de Magnésio 500 mg,Saúde,Saúde,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,citrato-de-magnesio-500-mg,Citrato de Magnésio 500 mg | MeJoy,saúde;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Citrato de Magnésio 500 mg,none,True,citrato,draft,5
MJOY-0006,Vitamina D3 2000 UI,Imunidade,Imunidade,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,vitamina-d3-2000-ui,Vitamina D3 2000 UI | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Vitamina D3 2000 UI,none,True,vitamina,draft,6
MJOY-0007,Silimarina 200 mg,Pele & Beleza,Pele & Beleza,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,silimarina-200-mg,Silimarina 200 mg | MeJoy,pele-&-beleza;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Silimarina 200 mg,none,True,silimarina,draft,7
MJOY-0008,Saw Palmetto 160 mg,Cabelo,Cabelo,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,saw-palmetto-160-mg-mjoy-0008,Saw Palmetto 160 mg | MeJoy,cabelo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Saw Palmetto 160 mg,none,True,saw,draft,8
MJOY-0009,Rhodiola Rosea 200 mg,Ansiedade & Humor,Ansiedade & Humor,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,rhodiola-rosea-200-mg-mjoy-0009,Rhodiola Rosea 200 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Rhodiola Rosea 200 mg,none,True,rhodiola,draft,9
MJOY-0010,Maca Peruana 500 mg,Hormonal & Libido,Hormonal & Libido,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,maca-peruana-500-mg-mjoy-0010,Maca Peruana 500 mg | MeJoy,hormonal-&-libido;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Maca Peruana 500 mg,none,True,maca,draft,10
MJOY-0011,Tribulus Terrestris 500 mg (40% saponinas),Hormonal & Libido,Hormonal & Libido,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,tribulus-terrestris-500-mg-40-saponinas-mjoy-0011,Tribulus Terrestris 500 mg (40% saponinas) | MeJoy,hormonal-&-libido;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Tribulus Terrestris 500 mg (40% saponinas),none,True,tribulus,draft,11
MJOY-0012,Cafeína 420 mg,Energia & Performance,Energia & Performance,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,cafeina-420-mg,Cafeína 420 mg | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Cafeína 420 mg,none,True,cafeina,draft,12
MJOY-0013,Berberina 500 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,berberina-500-mg-mjoy-0013,Berberina 500 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Berberina 500 mg,none,True,berberina,draft,13
MJOY-0014,Picolinato de Cromo 200 mcg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,picolinato-de-cromo-200-mcg,Picolinato de Cromo 200 mcg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Picolinato de Cromo 200 mcg,none,True,picolinato,draft,14
MJOY-0015,Multivitamínico A-Z,Imunidade,Imunidade,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,multivitaminico-a-z,Multivitamínico A-Z | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Multivitamínico A-Z,none,True,multivitaminico,draft,15
MJOY-0016,Inositol 500 mg,Ansiedade & Humor,Ansiedade & Humor,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,inositol-500-mg-mjoy-0016,Inositol 500 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Inositol 500 mg,none,True,inositol,draft,16
