sku,niche,name,base_name,dose,pack,form_key,price_brl,priceCents
MEJOY-0001,Ansiedade e Estresse,5 HTP 100 mg,5 HTP,100 mg,60 cápsulas,caps,49.0,4900
MEJOY-0002,Ansiedade e Estresse,5 HTP 50 mg,5 HTP,50 mg,30 cápsulas,caps,28.0,2800
MEJOY-0003,Ansiedade e Estresse,AC MÁLICO + MAGNÉSIO QUELATO,AC MÁLICO + MAGNÉSIO QUELATO,,90 cápsulas,caps,55.0,5500
MEJOY-0004,Ansiedade e Estresse,ASWHAGANDA  (GINSENG INDIANDO) 500 mg,ASWHAGANDA  (GINSENG INDIANDO),500 mg,30 cápsulas,caps,34.0,3400
MEJOY-0005,Ansiedade e Estresse,ASWHAGANDA  (GINSENG INDIANDO) 500 mg,ASWHAGANDA  (GINSENG INDIANDO),500 mg,60 cápsulas,caps,74.0,7400
MEJOY-0006,Ansiedade e Estresse,ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO,ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO,,60 cápsulas,caps,83.0,8300
MEJOY-0007,Ansiedade e Estresse,BACOPA MONNIERI 250 mg,BACOPA MONNIERI,250 mg,60 cápsulas,caps,67.0,6700
MEJOY-0008,Ansiedade e Estresse,GINSENG PANAX 200 mg,GINSENG PANAX,200 mg,60 cápsulas,caps,30.0,3000
MEJOY-0009,Ansiedade e Estresse,INOSITOL 500 mg,INOSITOL,500 mg,60 cápsulas,caps,34.0,3400
MEJOY-0010,Ansiedade e Estresse,L TEANINE 200 mg,L TEANINE,200 mg,60 cápsulas,caps,38.0,3800
MEJOY-0011,Ansiedade e Estresse,PASSIFLORA 200 mg,PASSIFLORA,200 mg,60 cápsulas,caps,18.0,1800
MEJOY-0012,Ansiedade e Estresse,RHODIOLA ROSEA 300 mg,RHODIOLA ROSEA,300 mg,60 cápsulas,caps,45.0,4500
MEJOY-0013,Ansiedade e Estresse,TRIMAGNÉSIO,TRIMAGNÉSIO,,120 cápsulas,caps,78.0,7800
MEJOY-0014,Articulação,ARTICURE (COLÁGENO TIPO II) 40 mg,ARTICURE (COLÁGENO TIPO II),40 mg,30 cápsulas,caps,50.0,5000
MEJOY-0015,Articulação,BORO 3 mg,BORO,3 mg,60 cápsulas,caps,20.0,2000
MEJOY-0016,Articulação,BOSWELLIA SERRATA 300 mg,BOSWELLIA SERRATA,300 mg,90 cápsulas,caps,31.0,3100
MEJOY-0017,Articulação,CONDROITINA 250 mg,CONDROITINA,250 mg,60 cápsulas,caps,30.0,3000
MEJOY-0018,Articulação,CT2 (COLÁGENO TIPO II) 40 mg,CT2 (COLÁGENO TIPO II),40 mg,30 cápsulas,caps,31.0,3100
MEJOY-0019,Articulação,DIACERINA 50 mg,DIACERINA,50 mg,60 cápsulas,caps,42.0,4200
MEJOY-0020,Articulação,GARRA DO DIABO 500 mg,GARRA DO DIABO,500 mg,60 cápsulas,caps,37.0,3700
MEJOY-0021,Articulação,GLISODIN 250 mg,GLISODIN,250 mg,60 cápsulas,caps,253.0,25300
MEJOY-0022,Articulação,GLUCOMANNAN 1200 mg,GLUCOMANNAN,1200 mg,60 cápsulas,caps,40.0,4000
MEJOY-0023,Articulação,GLUCOSAMINA 500 mg,GLUCOSAMINA,500 mg,90 cápsulas,caps,61.0,6100
MEJOY-0024,Articulação,GLUCOSAMINA + CONDROITINA + CT2 + AC HIALURONICO,GLUCOSAMINA + CONDROITINA + CT2 + AC HIALURONICO,,30 cápsulas,caps,77.0,7700
MEJOY-0025,Articulação,GLUCOSAMINA + CONDROITINA + MSM (SACHÊS),GLUCOSAMINA + CONDROITINA + MSM (SACHÊS),,30 sachês,sachet,78.0,7800
MEJOY-0026,Articulação,MSM 400 mg,MSM,400 mg,60 cápsulas,caps,22.0,2200
MEJOY-0027,Articulação,SAME 200 mg,SAME,200 mg,60 cápsulas,caps,121.0,12100
MEJOY-0028,Articulação,SELÊNIO 400 mcg,SELÊNIO,400 mcg,30 cápsulas,caps,28.0,2800
MEJOY-0029,Articulação,SUCUPIRA 400 mg,SUCUPIRA,400 mg,60 cápsulas,caps,40.0,4000
MEJOY-0030,Articulação,UC II 40 mg,UC II,40 mg,30 cápsulas,caps,67.0,6700
