sku,priceCents,nome,compareAtCents,shortBenefit,description,seoTitle,seoDescription
MEJOY-0001,4900,5-HTP 100 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","5-HTP 100 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: 5-HTP. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",5-HTP 100 mg | MeJoy,"5-HTP 100 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0002,2800,5-HTP 50 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","5-HTP 50 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: 5-HTP. Apresentação: cápsulas (30 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",5-HTP 50 mg | MeJoy,"5-HTP 50 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0003,5500,Ac Málico + Magnésio Quelato,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","AC MÁLICO + MAGNÉSIO QUELATO é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: AC MÁLICO + MAGNÉSIO QUELATO. Apresentação: cápsulas (90 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Ac Málico + Magnésio Quelato | MeJoy,"Ac málico + magnésio quelato. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0004,3400,Ashwagandha (Ginseng Indiano) 500 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","Ashwagandha (GINSENG Indiano) 500 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: Ashwagandha (GINSENG Indiano). Apresentação: cápsulas (30 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Ashwagandha (Ginseng Indiano) 500 mg | MeJoy,"Ashwagandha (ginseng Indiano) 500 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0005,7400,Ashwagandha (Ginseng Indiano) 500 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","Ashwagandha (GINSENG Indiano) 500 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: Ashwagandha (GINSENG Indiano). Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Ashwagandha (Ginseng Indiano) 500 mg | MeJoy,"Ashwagandha (ginseng Indiano) 500 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0006,8300,Ativos Que Auxiliam Na Qualidade Do Sono,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Ativos Que Auxiliam Na Qualidade Do Sono | MeJoy,"Ativos que auxiliam na qualidade do sono. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0007,6700,Bacopa Monnieri 250 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","BACOPA MONNIERI 250 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: BACOPA MONNIERI. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Bacopa Monnieri 250 mg | MeJoy,"Bacopa monnieri 250 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0008,3000,Ginseng Panax 200 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","GINSENG PANAX 200 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: GINSENG PANAX. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Ginseng Panax 200 mg | MeJoy,"Ginseng panax 200 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0009,3400,Inositol 500 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","INOSITOL 500 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: INOSITOL. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Inositol 500 mg | MeJoy,"Inositol 500 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0010,3800,L-Teanina 200 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","L-Teanina 200 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: L-Teanina. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",L-Teanina 200 mg | MeJoy,"L-Teanina 200 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
MEJOY-0011,1800,Passiflora 200 mg,,"Apoia equilíbrio emocional, foco e resposta ao estresse.","PASSIFLORA 200 mg é uma fórmula manipulada pensada para apoiar equilíbrio emocional, foco e resposta ao estresse. Composição/ativo principal: PASSIFLORA. Apresentação: cápsulas (60 cápsulas). Modo de uso: utilize conforme orientação de profissional de saúde. Cuidados: gestantes, lactantes e crianças devem consultar médico antes do uso. Este produto não substitui uma alimentação equilibrada e hábitos saudáveis.",Passiflora 200 mg | MeJoy,"Passiflora 200 mg. apoia equilíbrio emocional, foco e resposta ao estresse. fórmula manipulada. entrega nacional. mejoy."
