post,grid_order,slug,category,title,subtitle,cta,footer,source_image,final_image,objective,boost_recommended,alt_text,caption
1,1,emagrecimento-com-criterio-medico,LANÇAMENTO,Emagrecimento com critério médico,"Triagem inteligente, plano individual e foco em resultado sustentável.",Comece pela triagem,Conteúdo educativo. Avaliação médica individual.,public/images/emagrecimento/medvi/hero-main.webp,codex-artifacts/social-launch/final-posts/01-emagrecimento-com-criterio-medico.jpg,Apresentação da marca e promessa central.,True,Mulher sorrindo em roupa fitness com mensagem sobre emagrecimento com critério médico.,"Emagrecer com segurança não começa na pressa. Começa em entender o seu caso, o seu histórico e o que faz sentido sustentar na vida real.

Aqui na Me Joy Farma, o ponto de partida é simples: triagem, avaliação médica e acompanhamento contínuo. Sem promessa milagrosa. Sem tentativa aleatória.

Se você quer começar com mais clareza e menos ruído, esse perfil foi feito para você.

Se fizer sentido, comece pela triagem.

#EmagrecimentoComAcompanhamento #SaudeMetabolica #TratamentoDaObesidade"
2,2,comece-entendendo-o-seu-caso,TRIAGEM,Comece entendendo o seu caso,Uma triagem online clara ajuda a organizar próximos passos com mais segurança.,Entender meu caso,"Privacidade, clareza e direção inicial.",public/images/emagrecimento/medvi/journey-triagem.avif,codex-artifacts/social-launch/final-posts/02-comece-entendendo-o-seu-caso.jpg,Educar sobre o primeiro passo do funil.,True,Mãos segurando celular com mensagem sobre triagem online para emagrecimento.,"Muita gente tenta resolver o emagrecimento pulando etapas. O problema é que, sem contexto, qualquer decisão vira chute.

A triagem existe para organizar o caso antes de qualquer conduta. Ela ajuda a entender objetivos, rotina, histórico e pontos de atenção.

Quanto mais clareza no início, melhor a decisão depois.

Se você quer sair da tentativa aleatória, comece por aqui: entenda o seu caso primeiro.

#TriagemOnline #EmagrecimentoComAcompanhamento #SaudeMetabolica"
3,3,nada-e-decidido-no-automatico,SEGURANÇA,Nada é decidido no automático,"A avaliação médica vem antes de qualquer conduta, ajuste ou prescrição.",Ver como funciona,Segurança antes de velocidade.,public/images/emagrecimento/medvi/journey-consulta.avif,codex-artifacts/social-launch/final-posts/03-nada-e-decidido-no-automatico.jpg,Construir confiança e reduzir objeção de segurança.,True,Médico em ambiente clínico com notebook e mensagem sobre avaliação médica antes da conduta.,"Emagrecimento sério não é receita pronta.

Antes de qualquer estratégia, existe uma etapa que não pode ser ignorada: avaliação clínica. É ela que ajuda a entender indicações, limites, riscos e próximos passos com responsabilidade.

Nosso objetivo não é empurrar uma solução. É decidir com critério médico.

Se você valoriza segurança e clareza antes de começar, esse é o tipo de processo que faz sentido conhecer.

#AvaliacaoMedica #TratamentoDaObesidade #EmagrecimentoComAcompanhamento"
4,4,voce-nao-precisa-fazer-isso-sozinho,SUPORTE,Você não precisa fazer isso sozinho(a),"Nossa equipe acompanha rotina, dúvidas e próximos passos ao longo do processo.",Conhecer o suporte,Acompanhamento contínuo faz diferença.,public/images/emagrecimento/medvi/support-whatsapp.avif,codex-artifacts/social-launch/final-posts/04-voce-nao-precisa-fazer-isso-sozinho.jpg,Reforçar valor de acompanhamento e adesão.,False,Profissional de saúde em ambiente clínico com mensagem sobre suporte contínuo.,"O que mais atrapalha muita gente não é falta de vontade. É fazer tudo sem direção, sem ajuste e sem apoio.

Quando existe acompanhamento, a jornada fica mais clara: o que observar, quando ajustar, como manter adesão e como seguir sem depender de motivação do dia.

Emagrecimento sustentável pede constância. E constância fica mais fácil quando você não carrega o processo sozinho(a).

#AcompanhamentoContinuo #SaudeMetabolica #EmagrecimentoComAcompanhamento"
5,5,seu-plano-precisa-caber-na-vida-real,ROTINA,Seu plano precisa caber na vida real,"Constância, adesão e ajustes bem feitos valem mais do que pressa.",Buscar constância,Rotina sustentável > pressa.,public/images/emagrecimento/medvi/metabolism-habits.avif,codex-artifacts/social-launch/final-posts/05-seu-plano-precisa-caber-na-vida-real.jpg,Conectar com dor de aderência e rotina.,False,Mulher sorrindo em roupa esportiva com mensagem sobre rotina sustentável.,"Não adianta ter um plano bonito no papel se ele não cabe na sua rotina.

Resultado sustentável costuma nascer de três coisas simples: estratégia possível, adesão consistente e ajustes ao longo do caminho.

Por isso, a conversa aqui não é sobre pressa. É sobre construir um processo que você consiga manter.

Quando a rotina faz sentido, o tratamento deixa de parecer castigo e começa a virar cuidado de verdade.

#Constancia #EmagrecimentoComAcompanhamento #SaudeMetabolica"
6,6,pessoas-reais-evolucao-real,HISTÓRIAS REAIS,Pessoas reais. Evolução real.,"Com identidade preservada, cuidado individual e expectativas mais honestas.",Ver histórias reais,Cada caso evolui de um jeito.,public/images/emagrecimento/medvi/reviews-01.webp,codex-artifacts/social-launch/final-posts/06-pessoas-reais-evolucao-real.jpg,Prova social com tom humano e preservação de identidade.,False,Mulher sorrindo com mensagem sobre histórias reais e evolução real.,"Aqui a gente não trabalha com comparação injusta nem promessa vazia.

O que importa é respeitar a história de cada pessoa, o tempo de cada organismo e a necessidade de acompanhar com responsabilidade.

Mostrar evolução real é, para nós, falar com honestidade: existe caminho, existe processo e existe individualidade.

Se você busca um cuidado mais sério e menos performático, esse é o ponto de vista da casa.

#HistoriasReais #TratamentoDaObesidade #EmagrecimentoComAcompanhamento"
7,7,resultado-sustentavel-e-o-que-continua,RESULTADOS,Resultado sustentável é o que continua,Sem promessa milagrosa. Com acompanhamento responsável e metas possíveis.,Entender o processo,Resultados variam de pessoa para pessoa.,public/images/emagrecimento/medvi/reviews-04.avif,codex-artifacts/social-launch/final-posts/07-resultado-sustentavel-e-o-que-continua.jpg,Posicionar contra promessas milagrosas e a favor de sustentabilidade.,True,Mulher grisalha sorrindo com mensagem sobre resultados sustentáveis.,"O resultado que mais interessa não é o que impressiona por alguns dias. É o que continua fazendo sentido depois.

Emagrecimento sustentável passa por acompanhamento, ajuste e expectativa realista. Sem atalho emocional. Sem discurso de milagre.

Nosso papel é ajudar você a construir um processo mais seguro, mais claro e mais honesto.

Porque manter progresso vale mais do que correr atrás de promessa.

#ResultadosSustentaveis #SaudeMetabolica #EmagrecimentoComAcompanhamento"
8,8,quando-o-processo-faz-sentido-a-rotina-muda,BEM-ESTAR,"Quando o processo faz sentido, a rotina muda","Mais clareza, mais confiança e menos culpa para cuidar da saúde.",Cuidar com mais clareza,Cuidado médico também é alívio mental.,public/images/emagrecimento/medvi/reviews-03.avif,codex-artifacts/social-launch/final-posts/08-quando-o-processo-faz-sentido-a-rotina-muda.jpg,Conectar com benefício emocional e clareza.,False,Mulher de cabelos cacheados sorrindo com mensagem sobre mudança de rotina e clareza.,"Tem uma parte do emagrecimento que quase não aparece nas promessas da internet: o alívio de finalmente ter direção.

Quando você entende o processo, sabe o que observar e sente que existe acompanhamento, a rotina deixa de ser guerra diária.

Menos culpa. Menos confusão. Mais clareza para cuidar da saúde com constância.

Esse tipo de transformação também importa.

#BemEstar #SaudeMetabolica #EmagrecimentoComAcompanhamento"
9,9,quer-saber-o-que-faz-sentido-pra-voce,PRÓXIMO PASSO,Quer saber o que faz sentido pra você?,Comece pela triagem e receba um direcionamento inicial com privacidade.,Fazer minha triagem,Primeiro clareza. Depois decisão.,public/images/emagrecimento/medvi/hero-secondary.webp,codex-artifacts/social-launch/final-posts/09-quer-saber-o-que-faz-sentido-pra-voce.jpg,CTA principal do grid inicial.,True,Mulher em roupa esportiva sorrindo com chamada para fazer triagem.,"Nem toda pessoa precisa da mesma estratégia. E esse é exatamente o ponto.

Antes de pensar em qualquer próximo passo, vale entender melhor o seu contexto, seus objetivos e o que é viável para você hoje.

A triagem ajuda a organizar isso com mais clareza e privacidade.

Se você quer sair do modo tentativa e erro, esse pode ser um bom primeiro passo.

#TriagemOnline #TratamentoDaObesidade #EmagrecimentoComAcompanhamento"
10,,nem-todo-caso-precisa-da-mesma-estrategia,INDIVIDUALIZAÇÃO,Nem todo caso precisa da mesma estratégia,"Cuidado individual significa observar histórico, rotina, objetivos e indicações clínicas.",Avaliar meu caso,Decisão boa é decisão individualizada.,public/images/emagrecimento/medvi/reviews-07.webp,codex-artifacts/social-launch/final-posts/10-nem-todo-caso-precisa-da-mesma-estrategia.jpg,Post extra para continuidade após o grid inicial.,True,Mulher jovem sorrindo com mensagem sobre individualização do cuidado.,"O erro de muita comunicação em emagrecimento é tratar todo mundo como se fosse igual.

Não é.

Por isso a individualização importa tanto: histórico, rotina, sintomas, objetivos e indicações clínicas mudam a decisão.

Se você procura uma abordagem mais séria e menos genérica, acompanhe este perfil e comece pelo entendimento do seu caso.

#CuidadoIndividual #SaudeMetabolica #EmagrecimentoComAcompanhamento"
